lat,lon
37.575647,126.863348
37.574351,126.864126
37.575403,126.863464
37.574203,126.864142
37.575197,126.863623
37.574061,126.864135
37.57497,126.863797
37.576021,126.864334
37.576145,126.864006
37.576097,126.86365
37.575911,126.864576
37.575898,126.863405
37.575786,126.864789
37.576238,126.866161
37.576036,126.865949
37.57579,126.8657
37.575545,126.865483
37.575251,126.86524
37.574964,126.865023
37.574686,126.864816
37.574402,126.864608
37.574149,126.864421
37.573696,126.863971
37.573405,126.863762
37.573173,126.86359
37.572933,126.863434
37.572648,126.863242
37.572357,126.86303
37.572109,126.862845
37.57183,126.862639
37.571562,126.862442
37.571274,126.862234
37.571013,126.862037
37.57073,126.861827
37.570493,126.861655
37.570194,126.861429
37.573743,126.864351
37.573627,126.864261
37.573493,126.864164
37.573225,126.863965
37.573104,126.863881
37.572962,126.86377
37.573765,126.86412
37.57364,126.86403
37.573507,126.863931
37.573236,126.863736
37.573107,126.863646
37.572971,126.863552
37.492512,126.856076
37.492793,126.85611
37.493059,126.856131
37.493328,126.856164
37.493571,126.856191
37.493819,126.856216
37.494081,126.856239
37.494315,126.856261
37.49455,126.856287
37.494824,126.856319
37.495097,126.856343
37.49538,126.856369
37.495659,126.8564
37.495934,126.856429
37.496219,126.856458
37.4965,126.856483
37.496366,126.8563
37.496101,126.856278
37.495837,126.856249
37.495568,126.856219
37.495282,126.856194
37.495007,126.856157
37.494738,126.856134
37.494472,126.856107
37.494212,126.856082
37.493956,126.856053
37.493711,126.85603
37.493474,126.856007
37.49323,126.855985
37.492943,126.85595
37.492659,126.855927
37.492381,126.8559
37.566256,126.805747
37.566558,126.805645
37.566869,126.805541
37.567198,126.805442
37.568365,126.805033
37.568698,126.804915
37.569033,126.804802
37.569368,126.804682
37.569499,126.804431
37.569133,126.804541
37.568794,126.80467
37.568458,126.804782
37.567336,126.805172
37.56699,126.805282
37.566654,126.805403
37.566354,126.805493
37.501568,126.869548
37.501407,126.869477
37.501247,126.869412
37.501096,126.869353
37.500927,126.869283
37.500744,126.869196
37.500521,126.869312
37.500699,126.869385
37.500879,126.869467
37.501047,126.869539
37.501215,126.869611
37.501372,126.869677
37.501528,126.869738
37.499065,126.871432
37.499187,126.870866
37.499326,126.870233
37.499466,126.869603
37.499575,126.869102
37.499316,126.868901
37.499183,126.869499
37.499044,126.870132
37.498899,126.870807
37.498738,126.871301
37.498977,126.871089
37.499114,126.870466
37.499246,126.869851
37.499402,126.869144
37.560119,126.807704
37.560511,126.807571
37.560964,126.807427
37.561948,126.807121
37.56241,126.806978
37.562588,126.806737
37.562143,126.806881
37.561129,126.8072
37.56067,126.807349
37.560278,126.807469
37.490119,126.869759
37.490665,126.869632
37.491195,126.869517
37.491764,126.869379
37.49233,126.869249
37.492911,126.869119
37.493481,126.868923
37.494029,126.868745
37.494603,126.868543
37.495179,126.868361
37.495739,126.868165
37.49626,126.868036
37.496792,126.867991
37.496777,126.867706
37.496227,126.867751
37.495735,126.86789
37.495172,126.868057
37.494586,126.868267
37.494028,126.86845
37.493452,126.868637
37.492877,126.86882
37.492294,126.868963
37.491758,126.869079
37.491178,126.869227
37.490625,126.869348
